ticker,name,ipo_date,current_stock_price,market_cap,sector,pe_ratio,gross_profit_margin,gross_profit,total_shares_outstanding,ps_ratio,total_revenue,revenue_growth_rate_last_year
BSGA,Blue Safari Group Acquisition,06/10/2021,10.39,78314625,Blank Check / SPAC,0,0.0,0,7537500,0.0,0,0.0
BSKY,Big Sky Growth Partners,04/29/2021,9.75,365624980.5,Blank Check / SPAC,0,0.0,0,37499998,0.0,0,0.0
BSN,Broadstone Acquisition,09/11/2020,9.95,379720835.09999996,Blank Check / SPAC,0,0.0,0,38162898,0.0,0,0.0
BSY,Bentley Systems,09/23/2020,56.55,15966664716.599998,Technology,173.466,11.335,705448000,282345972,17.488,912983000,16.319
BTAQ,Burgundy Technology Acquisition,08/27/2020,9.99,441433115.01,Blank Check / SPAC,0,0.0,0,44187499,0.0,0,0.0
BTBD,BT Brands,11/12/2021,4.2,25399508.400000002,Consumer Discretionary,43.924,6.583,5492706,6047502,2.892,8783583,0.0
BTNB,Bridgetown 2 Holdings,01/26/2021,9.95,371881250,Blank Check / SPAC,0,0.0,0,37375000,0.0,0,0.0
BTWN,Bridgetown Holdings,10/16/2020,9.97,741510783.97,Blank Check / SPAC,0,0.0,0,74374201,0.0,0,0.0
BVS,Bioventus,02/11/2021,14.72,874928832,Healthcare,0,1.365,288408000,59438100,2.724,321161000,24.663
BWAC,Better World Acquisition,11/13/2020,10.13,163150741,Blank Check / SPAC,0,0.0,0,16105700,0.0,0,0.0
BWC,Blue Whale Acquisition I,08/04/2021,9.78,289561340.21999997,Blank Check / SPAC,0,0.0,0,29607499,0.0,0,0.0
BWMN,Bowman Consulting Group,05/07/2021,17.25,195123375,Industrials,125,0.734,0,11311500,1.415,137935000,0.0
BYTS,BYTE Acquisition,03/19/2021,9.74,404128164.52,Blank Check / SPAC,0,0.0,0,41491598,0.0,0,0.0
BZ,Kanzhun,06/11/2021,35.23,14408330240.46,Industrials,0,-75.314,0,408979002,4.514,3191982000,0.0
CADL,Candel Therapeutics,07/27/2021,10.7,306980860,Healthcare,0,0.0,0,28689800,0.0,0,0.0
CALT,Calliditas Therapeutics,06/05/2020,17.92,475034129.92,Healthcare,0,-148437,47058,26508601,10094.475,47058,-99.15
CAS,Cascade Acquisition,11/20/2020,9.97,286637500,Blank Check / SPAC,0,0.0,0,28750000,0.0,0,0.0
CBAH,CBRE Acquisition,12/11/2020,10.45,441643104.09999996,Blank Check / SPAC,0,0.0,0,42262498,0.0,0,0.0
CCAC,CITIC Capital Acquisition,02/11/2020,10.01,345344989.99,Blank Check / SPAC,0,0.0,0,34499999,0.0,0,0.0
CCAI,Cascadia Acquisition,08/26/2021,9.72,182250000,Blank Check / SPAC,0,0.0,0,18750000,0.0,0,0.0
CCCC,C4 Therapeutics,10/02/2020,40.31,1960098056.93,Health Care,0,-265.033,33969000,48625603,57.703,33969000,2.495
CCSI,Consensus Cloud Solutions,10/08/2021,63.1,1255872926.9,Technology,10.321,17.559,0,19902899,1.819,690316000,0.0
CCV,Churchill Capital V,12/16/2020,9.86,616249980.28,Blank Check / SPAC,0,0.0,0,62499998,0.0,0,0.0
CCVI,Churchill Capital VI,02/12/2021,9.92,684480000,Blank Check / SPAC,0,0.0,0,69000000,0.0,0,0.0
CD,Chindata Group,09/30/2020,9.57,3471517442.58,Technology,0,-4.279,146411692,362749994,9.601,361577384,62.972
CDAK,Codiak BioSciences,10/14/2020,13.85,309766330,Health Care,0,-428.433,16878000,22365800,18.353,16878000,1084.421
CDRE,Cadre Holdings,11/04/2021,20.24,677703004,Industrials,16.503,9.842,0,33483350,1.624,417238000,0.0
CENQ,CENAQ Energy,08/13/2021,9.915,215673053.08499998,Blank Check / SPAC,0,0.0,0,21752199,0.0,0,0.0
CERT,Certara,12/11/2020,30.73,4906935792.92,Healthcare,0,-21.065,158167000,159679004,17.818,275399000,18.326
CFFE,CF Acquisition VIII,03/12/2021,9.93,315674719.86,Blank Check / SPAC,0,0.0,0,31790002,0.0,0,0.0
CFIV,CF Acquisition IV,12/23/2020,9.79,621665019.5799999,Blank Check / SPAC,0,0.0,0,63500002,0.0,0,0.0
CFLT,Confluent,06/24/2021,80.16,21200236561.44,Technology,0,-76.899,0,264474009,62.674,338260000,0.0
CFV,CF Acquisition V,01/29/2021,9.98,317862980.04,Blank Check / SPAC,0,0.0,0,31849998,0.0,0,0.0
CFVI,CF Acquisition VI,02/19/2021,9.75,372450019.5,Blank Check / SPAC,0,0.0,0,38200002,0.0,0,0.0
CGEM,Cullinan Oncology,01/08/2021,19.27,841800315,Healthcare,0,0.0,18943000,43684500,0.0,0,0.0
CGTX,Cognition Therapeutics,10/08/2021,10.71,228887694.00000003,Healthcare,0,0.0,0,21371400,0.0,0,0.0
CHAA,Catcha Investment,02/12/2021,9.75,365624990.25,Blank Check / SPAC,0,0.0,0,37499999,0.0,0,0.0
CHWA,CHW Acquisition,08/31/2021,9.8,153688509.8,Blank Check / SPAC,0,0.0,0,15682501,0.0,0,0.0
CIAN,Cian,11/05/2021,15.01,1036326469.03,Real Estate,0,-37.584,0,69042403,14.82,69926378,0.0
CIIG,CIIG Capital Partners II,09/15/2021,9.89,302881250,Blank Check / SPAC,0,0.0,0,30625000,0.0,0,0.0
CINT,CI&T,11/10/2021,16.48,2178621326.08,Technology,71.097,13.687,0,132197896,9.731,223886645,0.0
